seed,scenario_family,decision_date,budget,latency_days,theta,high_risk_threshold,top_share,base_policy_value,base_stale_regret,base_relative_loss,base_target_overlap,base_missed_at_risk,base_window_miss_rate,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio
41,promotion-heavy,2025-03-26,11530000,7,0.05,0.8,0.15,132222708.759157,2106588.432428,0.015682,0.850746,0.140541,0.011143,131569416.736939,2759880.454646,-0.310118,0.979454,0.135867
41,promotion-heavy,2025-03-26,11530000,7,0.1,0.8,0.15,132222708.759157,2106588.432428,0.015682,0.850746,0.140541,0.011143,131884762.046642,2444535.144943,-0.160424,0.981802,0.069244
41,promotion-heavy,2025-03-26,11530000,7,0.15,0.8,0.15,132222708.759157,2106588.432428,0.015682,0.850746,0.140541,0.011143,132055471.258347,2273825.933238,-0.079388,0.983073,0.044779
41,dormancy-heavy,2025-03-26,2640000,1,0.05,0.8,0.15,54155810.698708,-2575740.156796,-0.049937,0.895775,0.145098,0.005831,51892314.258886,-312243.716974,-0.878775,1.006054,0.133901
41,dormancy-heavy,2025-03-26,2640000,1,0.1,0.8,0.15,54155810.698708,-2575740.156796,-0.049937,0.895775,0.145098,0.005831,52209435.139282,-629364.59737,-0.755657,1.012202,0.058978
41,dormancy-heavy,2025-03-26,2640000,1,0.15,0.8,0.15,54155810.698708,-2575740.156796,-0.049937,0.895775,0.145098,0.005831,53663228.549511,-2083158.007599,-0.191239,1.040387,0.031673
41,dormancy-heavy,2025-03-26,7250000,1,0.05,0.8,0.15,92027734.486203,311474.019959,0.003373,0.883487,0.152022,0.001676,91621734.907648,717473.598514,-1.303478,0.99223,0.133901
41,dormancy-heavy,2025-03-26,7250000,1,0.1,0.8,0.15,92027734.486203,311474.019959,0.003373,0.883487,0.152022,0.001676,91624913.84666,714294.659502,-1.293272,0.992264,0.058978
41,dormancy-heavy,2025-03-26,7250000,1,0.15,0.8,0.15,92027734.486203,311474.019959,0.003373,0.883487,0.152022,0.001676,92038202.155255,301006.350907,0.033607,0.99674,0.031673
41,dormancy-heavy,2025-03-26,11530000,1,0.05,0.8,0.15,103883458.384953,104331.986127,0.001003,0.947737,0.074972,0.000931,103711087.403307,276702.967773,-1.652139,0.997339,0.133901
41,dormancy-heavy,2025-03-26,11530000,1,0.1,0.8,0.15,103883458.384953,104331.986127,0.001003,0.947737,0.074972,0.000931,103826289.874431,161500.496649,-0.547948,0.998447,0.058978
41,dormancy-heavy,2025-03-26,11530000,1,0.15,0.8,0.15,103883458.384953,104331.986127,0.001003,0.947737,0.074972,0.000931,103888276.271499,99514.099581,0.046178,0.999043,0.031673
41,dormancy-heavy,2025-03-26,2640000,3,0.05,0.8,0.15,53440631.114985,-1860560.573073,-0.036071,0.909859,0.12549,0.017391,51384741.459648,195329.082264,-1.104984,0.996213,0.110092
41,dormancy-heavy,2025-03-26,2640000,3,0.1,0.8,0.15,53440631.114985,-1860560.573073,-0.036071,0.909859,0.12549,0.017391,52489230.881003,-909160.339091,-0.511351,1.017626,0.048711
41,dormancy-heavy,2025-03-26,2640000,3,0.15,0.8,0.15,53440631.114985,-1860560.573073,-0.036071,0.909859,0.12549,0.017391,52563274.735299,-983204.193387,-0.471555,1.019062,0.029489
41,dormancy-heavy,2025-03-26,7250000,3,0.05,0.8,0.15,91082431.478195,1256777.027967,0.01361,0.866723,0.156206,0.005017,90746452.197377,1592756.308785,-0.267334,0.982751,0.110092
41,dormancy-heavy,2025-03-26,7250000,3,0.1,0.8,0.15,91082431.478195,1256777.027967,0.01361,0.866723,0.156206,0.005017,91000631.653548,1338576.852614,-0.065087,0.985504,0.048711
41,dormancy-heavy,2025-03-26,7250000,3,0.15,0.8,0.15,91082431.478195,1256777.027967,0.01361,0.866723,0.156206,0.005017,91106050.895883,1233157.610279,0.018794,0.986645,0.029489
41,dormancy-heavy,2025-03-26,11530000,3,0.05,0.8,0.15,103268925.726349,718864.644731,0.006913,0.930005,0.071665,0.002771,103219479.049283,768311.321797,-0.068784,0.992612,0.110092
41,dormancy-heavy,2025-03-26,11530000,3,0.1,0.8,0.15,103268925.726349,718864.644731,0.006913,0.930005,0.071665,0.002771,103225406.004245,762384.366835,-0.06054,0.992669,0.048711
41,dormancy-heavy,2025-03-26,11530000,3,0.15,0.8,0.15,103268925.726349,718864.644731,0.006913,0.930005,0.071665,0.002771,103298582.781925,689207.589155,0.041255,0.993372,0.029489
41,dormancy-heavy,2025-03-26,2640000,7,0.05,0.8,0.15,52691935.693867,-1111865.151955,-0.021556,0.901408,0.12549,0.092219,51043901.962286,536168.579626,-1.482224,0.989605,0.114242
41,dormancy-heavy,2025-03-26,2640000,7,0.1,0.8,0.15,52691935.693867,-1111865.151955,-0.021556,0.901408,0.12549,0.092219,51828722.857254,-248652.315342,-0.776365,1.004821,0.052862
41,dormancy-heavy,2025-03-26,2640000,7,0.15,0.8,0.15,52691935.693867,-1111865.151955,-0.021556,0.901408,0.12549,0.092219,52198891.67567,-618821.133758,-0.443439,1.011997,0.034294
41,dormancy-heavy,2025-03-26,7250000,7,0.05,0.8,0.15,91356663.780955,982544.725207,0.010641,0.840738,0.199442,0.026446,90725379.461124,1613829.045038,-0.642499,0.982523,0.114242
41,dormancy-heavy,2025-03-26,7250000,7,0.1,0.8,0.15,91356663.780955,982544.725207,0.010641,0.840738,0.199442,0.026446,91128040.918973,1211167.587189,-0.232684,0.986883,0.052862
41,dormancy-heavy,2025-03-26,7250000,7,0.15,0.8,0.15,91356663.780955,982544.725207,0.010641,0.840738,0.199442,0.026446,91206143.486704,1133065.019458,-0.153194,0.987729,0.034294
41,dormancy-heavy,2025-03-26,11530000,7,0.05,0.8,0.15,102672895.152761,1314895.218319,0.012645,0.89734,0.092613,0.014612,102645851.895618,1341938.475462,-0.020567,0.987095,0.114242
41,dormancy-heavy,2025-03-26,11530000,7,0.1,0.8,0.15,102672895.152761,1314895.218319,0.012645,0.89734,0.092613,0.014612,102677607.224398,1310183.146682,0.003584,0.987401,0.052862
41,dormancy-heavy,2025-03-26,11530000,7,0.15,0.8,0.15,102672895.152761,1314895.218319,0.012645,0.89734,0.092613,0.014612,102662004.472612,1325785.898468,-0.008283,0.987251,0.034294
41,seasonal-shift,2025-03-26,2640000,1,0.05,0.8,0.15,57721572.903578,-3379816.735373,-0.062196,0.879765,0.172269,0.0,54690920.000168,-349163.831963,-0.896691,1.006425,0.156837
41,seasonal-shift,2025-03-26,2640000,1,0.1,0.8,0.15,57721572.903578,-3379816.735373,-0.062196,0.879765,0.172269,0.0,56019329.392374,-1677573.224169,-0.50365,1.030871,0.071429
41,seasonal-shift,2025-03-26,2640000,1,0.15,0.8,0.15,57721572.903578,-3379816.735373,-0.062196,0.879765,0.172269,0.0,57254549.167961,-2912792.999756,-0.13818,1.053601,0.037789
41,seasonal-shift,2025-03-26,7250000,1,0.05,0.8,0.15,101206945.811526,-313334.719131,-0.003106,0.846753,0.225434,0.0,100245181.614972,648429.477423,-3.069447,0.993573,0.156837
41,seasonal-shift,2025-03-26,7250000,1,0.1,0.8,0.15,101206945.811526,-313334.719131,-0.003106,0.846753,0.225434,0.0,100693196.650975,200414.44142,-1.639618,0.998014,0.071429
41,seasonal-shift,2025-03-26,7250000,1,0.15,0.8,0.15,101206945.811526,-313334.719131,-0.003106,0.846753,0.225434,0.0,101181473.184475,-287862.09208,-0.081295,1.002853,0.037789
41,seasonal-shift,2025-03-26,11530000,1,0.05,0.8,0.15,113875476.030678,-338020.605807,-0.002977,0.887927,0.121413,0.0,113537700.95033,-245.525459,-0.999274,1.000002,0.156837
41,seasonal-shift,2025-03-26,11530000,1,0.1,0.8,0.15,113875476.030678,-338020.605807,-0.002977,0.887927,0.121413,0.0,113772368.506695,-234913.081824,-0.305033,1.002069,0.071429
41,seasonal-shift,2025-03-26,11530000,1,0.15,0.8,0.15,113875476.030678,-338020.605807,-0.002977,0.887927,0.121413,0.0,113829454.340905,-291998.916034,-0.136151,1.002572,0.037789
41,seasonal-shift,2025-03-26,2640000,3,0.05,0.8,0.15,57334966.834725,-2993210.66652,-0.055081,0.903226,0.134454,0.0,55385242.143471,-1043485.975266,-0.651382,1.019202,0.128222
41,seasonal-shift,2025-03-26,2640000,3,0.1,0.8,0.15,57334966.834725,-2993210.66652,-0.055081,0.903226,0.134454,0.0,56034654.179625,-1692898.01142,-0.434421,1.031153,0.058541
41,seasonal-shift,2025-03-26,2640000,3,0.15,0.8,0.15,57334966.834725,-2993210.66652,-0.055081,0.903226,0.134454,0.0,56425876.410247,-2084120.242042,-0.303717,1.038352,0.033639
41,seasonal-shift,2025-03-26,7250000,3,0.05,0.8,0.15,100181978.303568,711632.788827,0.007053,0.846753,0.216763,0.0,99388839.190181,1504771.902214,-1.114534,0.985086,0.128222
41,seasonal-shift,2025-03-26,7250000,3,0.1,0.8,0.15,100181978.303568,711632.788827,0.007053,0.846753,0.216763,0.0,99665257.722087,1228353.370308,-0.726106,0.987825,0.058541
41,seasonal-shift,2025-03-26,7250000,3,0.15,0.8,0.15,100181978.303568,711632.788827,0.007053,0.846753,0.216763,0.0,100116268.306564,777342.785831,-0.092337,0.992295,0.033639
41,seasonal-shift,2025-03-26,11530000,3,0.05,0.8,0.15,113079605.563548,457849.861323,0.004033,0.878307,0.120309,0.0,112756358.78588,781096.638991,-0.70601,0.99312,0.128222
41,seasonal-shift,2025-03-26,11530000,3,0.1,0.8,0.15,113079605.563548,457849.861323,0.004033,0.878307,0.120309,0.0,113035814.797946,501640.626925,-0.095644,0.995582,0.058541
41,seasonal-shift,2025-03-26,11530000,3,0.15,0.8,0.15,113079605.563548,457849.861323,0.004033,0.878307,0.120309,0.0,113049689.208237,487766.216634,-0.065341,0.995704,0.033639
41,seasonal-shift,2025-03-26,2640000,7,0.05,0.8,0.15,56944227.265425,-2602471.09722,-0.047891,0.909091,0.121849,0.026866,54412147.689419,-70391.521214,-0.972952,1.001295,0.120358
41,seasonal-shift,2025-03-26,2640000,7,0.1,0.8,0.15,56944227.265425,-2602471.09722,-0.047891,0.909091,0.121849,0.026866,55942461.154072,-1600704.985867,-0.384929,1.029456,0.055701
41,seasonal-shift,2025-03-26,2640000,7,0.15,0.8,0.15,56944227.265425,-2602471.09722,-0.047891,0.909091,0.121849,0.026866,56685581.738346,-2343825.570141,-0.099385,1.043131,0.033202
41,seasonal-shift,2025-03-26,7250000,7,0.05,0.8,0.15,99677362.92403,1216248.168365,0.012055,0.8329,0.234104,0.007614,99164471.478182,1729139.614213,-0.4217,0.982862,0.120358
41,seasonal-shift,2025-03-26,7250000,7,0.1,0.8,0.15,99677362.92403,1216248.168365,0.012055,0.8329,0.234104,0.007614,99409500.944907,1484110.147488,-0.220236,0.98529,0.055701
41,seasonal-shift,2025-03-26,7250000,7,0.15,0.8,0.15,99677362.92403,1216248.168365,0.012055,0.8329,0.234104,0.007614,99559356.124417,1334254.967978,-0.097025,0.986776,0.033202
41,seasonal-shift,2025-03-26,11530000,7,0.05,0.8,0.15,112242362.51824,1295092.906631,0.011407,0.856662,0.134658,0.00421,111982833.14227,1554622.282601,-0.200394,0.986307,0.120358
41,seasonal-shift,2025-03-26,11530000,7,0.1,0.8,0.15,112242362.51824,1295092.906631,0.011407,0.856662,0.134658,0.00421,112186798.022455,1350657.402416,-0.042904,0.988104,0.055701
41,seasonal-shift,2025-03-26,11530000,7,0.15,0.8,0.15,112242362.51824,1295092.906631,0.011407,0.856662,0.134658,0.00421,112230534.187283,1306921.237588,-0.009133,0.988489,0.033202
41,complaint-heavy,2025-04-02,2640000,1,0.05,0.8,0.15,54470797.440184,-1492684.178879,-0.028175,0.878261,0.170213,0.0,52479034.940346,499078.320959,-1.33435,0.99058,0.137033
41,complaint-heavy,2025-04-02,2640000,1,0.1,0.8,0.15,54470797.440184,-1492684.178879,-0.028175,0.878261,0.170213,0.0,52933270.757538,44842.503767,-1.030042,0.999154,0.053683
41,complaint-heavy,2025-04-02,2640000,1,0.15,0.8,0.15,54470797.440184,-1492684.178879,-0.028175,0.878261,0.170213,0.0,53605613.702565,-627500.44126,-0.579616,1.011845,0.031483
41,complaint-heavy,2025-04-02,7250000,1,0.05,0.8,0.15,90378173.25105,-264873.328921,-0.002939,0.824407,0.229901,0.0,89880138.371122,233161.551007,-1.880276,0.997413,0.137033
41,complaint-heavy,2025-04-02,7250000,1,0.1,0.8,0.15,90378173.25105,-264873.328921,-0.002939,0.824407,0.229901,0.0,90192538.623076,-79238.700947,-0.700843,1.000879,0.053683
41,complaint-heavy,2025-04-02,7250000,1,0.15,0.8,0.15,90378173.25105,-264873.328921,-0.002939,0.824407,0.229901,0.0,90374766.152447,-261466.230318,-0.012863,1.002902,0.031483
41,complaint-heavy,2025-04-02,11530000,1,0.05,0.8,0.15,101053232.200834,157372.439672,0.001555,0.874937,0.121348,0.0,100921896.737426,288707.90308,-0.834552,0.997147,0.137033
